

Datum;Zeit;Zeitstempel;mittlere Temperatur;1 - TK_1.1;2 - TK_1.2;3 - TK_1.3;4 - TK_1.4;5 - TK_1.5;6 - TK_1.6;7 - TK_1.7;8 - TK_1.8;9 - TK_2.1;10 - TK_2.2;11 - TK_2.3;12 - TK_2.4;13 - TK_2.5;14 - TK_2.6;15 - TK_2.7;16 - TK_2.8;
06.05.2013;11:58:11;1367834291;19,9;20,1;19,7;20,1;20,1;20,3;20,5;20,8;20,3;20,4;19,1;19,4;19,2;20,0;19,6;20,1;18,9;
06.05.2013;11:58:21;1367834301;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,4;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:58:31;1367834311;20,7;21,2;20,8;21,2;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:58:41;1367834321;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:58:51;1367834331;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,4;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:59:02;1367834342;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:59:12;1367834352;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:59:22;1367834362;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:59:32;1367834372;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:59:42;1367834382;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;11:59:52;1367834392;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:00:02;1367834402;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:00:12;1367834412;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:00:22;1367834422;20,7;21,2;20,8;21,2;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:00:32;1367834432;20,7;21,2;20,8;21,3;21,3;20,8;21,3;21,4;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:00:42;1367834442;20,7;21,2;20,8;21,2;21,3;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:00:52;1367834452;20,7;21,2;20,8;21,3;21,3;20,8;21,3;21,5;21,2;20,8;19,8;20,1;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:01:02;1367834462;20,7;21,2;20,8;21,3;21,2;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:01:12;1367834472;20,7;21,2;20,8;21,3;21,3;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:01:22;1367834482;20,7;21,2;20,8;21,3;21,3;20,8;21,3;21,5;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
06.05.2013;12:01:32;1367834492;20,7;21,2;20,8;21,3;21,3;20,8;21,3;21,4;21,2;20,8;19,8;20,2;19,8;20,6;20,4;20,8;19,8;
