changed 33.7467 (l. 216, c. 179) to 39.754
changed 41.0158 (l. 216, c. 755) to 44.8032
changed 27.1612 (l. 220, c. 1539) to 33.4055
changed 34.4343 (l. 222, c. 179) to 38.2606
changed 138.815 (l. 222, c. 1538) to 34.1323
changed 139.655 (l. 234, c. 1538) to 34.3258
changed 137.205 (l. 238, c. 1538) to 37.3474
changed 49.8151 (l. 239, c. 179) to 46.8317
changed 46.1421 (l. 242, c. 179) to 47.8668
changed 46.5291 (l. 261, c. 1539) to 39.3344
changed 41.3234 (l. 263, c. 755) to 37.8418
changed 33.5976 (l. 263, c. 1539) to 38.5301
changed 26.1714 (l. 264, c. 163) to 27.5484
changed 35.966 (l. 264, c. 179) to 38.798
